OP("/NM2" "cgg") X,OP("/NM2" "cgg") Y
0,1.237345770964079e-14
0.01010101,1.235311576061335e-14
0.02020202,1.23330200159215e-14
0.03030303,1.231316567030349e-14
0.04040404,1.229354805695746e-14
0.05050505,1.227416264667626e-14
0.06060606,1.225500504827283e-14
0.07070707,1.223607101067096e-14
0.08080808,1.221735642716528e-14
0.09090909,1.219885734252629e-14
0.1010101,1.218056996385717e-14
0.1111111,1.216249067641649e-14
0.1212121,1.214461606603268e-14
0.1313131,1.212694295028631e-14
0.1414141,1.210946842137158e-14
0.1515152,1.209218990453137e-14
0.1616162,1.207510523727427e-14
0.1717172,1.205821277633788e-14
0.1818182,1.204151154170962e-14
0.1919192,1.202500141015151e-14
0.2020202,1.200868337486441e-14
0.2121212,1.199255989352065e-14
0.2222222,1.197663535436148e-14
0.2323232,1.196091670001982e-14
0.2424242,1.194541426201441e-14
0.2525253,1.193014287656066e-14
0.2626263,1.19151233758952e-14
0.2727273,1.190038458059845e-14
0.2828283,1.188596595987549e-14
0.2929293,1.187192118157804e-14
0.3030303,1.185832284592708e-14
0.3131313,1.184526879141082e-14
0.3232323,1.183289048417747e-14
0.3333333,1.182136416025596e-14
0.3434343,1.181092559019577e-14
0.3535354,1.180188958407338e-14
0.3636364,1.179467565284361e-14
0.3737374,1.178984158109198e-14
0.3838384,1.17881270166767e-14
0.3939394,1.17905094747089e-14
0.4040404,1.179827524491541e-14
0.4141414,1.181310731812046e-14
0.4242424,1.183719114828553e-14
0.4343434,1.187333608958318e-14
0.4444444,1.192510456463525e-14
0.4545455,1.199693093238682e-14
0.4646465,1.209419607028063e-14
0.4747475,1.222320122608562e-14
0.4848485,1.239095822139739e-14
0.4949495,1.260469198481784e-14
0.5050505,1.28709562131654e-14
0.5151515,1.319432572439329e-14
0.5252525,1.357578027180118e-14
0.5353535,1.401112815104368e-14
0.5454545,1.449004465474893e-14
0.5555556,1.499634180221363e-14
0.5656566,1.550977716857642e-14
0.5757576,1.600909123565161e-14
0.5858586,1.647536520489795e-14
0.5959596,1.689462553624264e-14
0.6060605999999999,1.725901040066403e-14
0.6161616,1.756647167167183e-14
0.6262626,1.781949467550072e-14
0.6363636,1.802346534518351e-14
0.6464645999999999,1.818517087274579e-14
0.6565657,1.831167535714114e-14
0.6666666999999999,1.840961029796657e-14
0.6767677,1.848480949250607e-14
0.6868687,1.854218402478395e-14
0.6969697,1.858574204332176e-14
0.7070707000000001,1.861868259823356e-14
0.7171717,1.864351775715928e-14
0.7272727,1.866219667419675e-14
0.7373737,1.867621842567406e-14
0.7474747,1.868672842208989e-14
0.7575758,1.869459762153151e-14
0.7676768,1.870048593373085e-14
0.7777778,1.870489206052631e-14
0.7878788,1.870819217558946e-14
0.7979798,1.871066966715887e-14
0.8080808,1.871253785585174e-14
0.8181818,1.871395726177291e-14
0.8282828,1.871504868141211e-14
0.8383838,1.871590306487648e-14
0.8484848,1.871658896179887e-14
0.8585859,1.871715812641729e-14
0.8686869,1.871764973262745e-14
0.8787879,1.871809354149989e-14
0.8888889,1.871851228054278e-14
0.8989899,1.871892343048396e-14
0.9090909,1.871934056710865e-14
0.9191919,1.871977436917789e-14
0.9292929,1.872023337588897e-14
0.9393939,1.872072455656935e-14
0.9494949,1.872125373966702e-14
0.959596,1.872182593635372e-14
0.969697,1.872244558523346e-14
0.9797979999999999,1.872311673802635e-14
0.989899,1.872384320112679e-14
1,1.872462864420747e-14
