OP("/PM1" "cgg") X,OP("/PM1" "cgg") Y
0,1.618692170967962e-14
0.01010101,1.614458485764226e-14
0.02020202,1.610280366121422e-14
0.03030303,1.606156671764983e-14
0.04040404,1.602086309399485e-14
0.05050505,1.59806823641038e-14
0.06060606,1.594101466414089e-14
0.07070707,1.590185077316158e-14
0.08080808,1.586318222780637e-14
0.09090909,1.582500148346711e-14
0.1010101,1.57873021388369e-14
0.1111111,1.575007924697613e-14
0.1212121,1.571332974453112e-14
0.1313131,1.567705304236447e-14
0.1414141,1.564125183673652e-14
0.1515152,1.560593322186964e-14
0.1616162,1.557111021434525e-14
0.1717172,1.5536803840199e-14
0.1818182,1.550304599068855e-14
0.1919192,1.546988332776843e-14
0.2020202,1.543738262239236e-14
0.2121212,1.540563804732665e-14
0.2222222,1.537478113370641e-14
0.2323232,1.534499435344316e-14
0.2424242,1.531652962871606e-14
0.2525253,1.528973352113003e-14
0.2626263,1.526508144736536e-14
0.2727273,1.524322403828597e-14
0.2828283,1.522504973334543e-14
0.2929293,1.521176889160119e-14
0.3030303,1.520502606526184e-14
0.3131313,1.520704847415915e-14
0.3232323,1.522083977781082e-14
0.3333333,1.525042820404769e-14
0.3434343,1.530117549946987e-14
0.3535354,1.53801454258542e-14
0.3636364,1.549651340490895e-14
0.3737374,1.566196624073325e-14
0.3838384,1.589098527294668e-14
0.3939394,1.620082294260659e-14
0.4040404,1.661087869971877e-14
0.4141414,1.714109263803491e-14
0.4242424,1.780899398108482e-14
0.4343434,1.862531168036532e-14
0.4444444,1.958870577849098e-14
0.4545455,2.068113443543082e-14
0.4646465,2.186612662975416e-14
0.4747475,2.309193338708809e-14
0.4848485,2.429969823890653e-14
0.4949495,2.543420096540822e-14
0.5050505,2.645322913422036e-14
0.5151515,2.733245465576268e-14
0.5252525,2.806514324933774e-14
0.5353535,2.865824011621067e-14
0.5454545,2.912714601074709e-14
0.5555556,2.94909846644376e-14
0.5656566,2.976920055089142e-14
0.5757576,2.997956002170318e-14
0.5858586,3.013725001143114e-14
0.5959596,3.025468705975789e-14
0.6060605999999999,3.034171407154378e-14
0.6161616,3.040596525213338e-14
0.6262626,3.045326997343478e-14
0.6363636,3.048802970810138e-14
0.6464645999999999,3.051354095368635e-14
0.6565657,3.053225826065428e-14
0.6666666999999999,3.054600166638068e-14
0.6767677,3.055611678620578e-14
0.6868687,3.056359653974981e-14
0.6969697,3.056917274412602e-14
0.7070707000000001,3.057338452422992e-14
0.7171717,3.057662913791154e-14
0.7272727,3.057919959341755e-14
0.7373737,3.058131241612165e-14
0.7474747,3.058312810509814e-14
0.7575758,3.058476618451832e-14
0.7676768,3.058631626898486e-14
0.7777778,3.058784619506411e-14
0.7878788,3.058940799665437e-14
0.7979798,3.059104229749452e-14
0.8080808,3.059278154354832e-14
0.8181818,3.059465237974523e-14
0.8282828,3.059667741577752e-14
0.8383838,3.059887651984294e-14
0.8484848,3.060126779118421e-14
0.8585859,3.060386828436782e-14
0.8686869,3.060669455684062e-14
0.8787879,3.060976308722762e-14
0.8888889,3.061309059971378e-14
0.8989899,3.061669432035757e-14
0.9090909,3.062059218420657e-14
0.9191919,3.062480300694621e-14
0.9292929,3.062934663101803e-14
0.9393939,3.063424405332778e-14
0.9494949,3.063951753955946e-14
0.959596,3.064519072852155e-14
0.969697,3.065128872873223e-14
0.9797979999999999,3.06578382084942e-14
0.989899,3.066486747993863e-14
1,3.067240657687447e-14
