OP("/NM2" "cgs") X,OP("/NM2" "cgs") Y
0,-3.138842834641461e-15
0.01010101,-3.141079629351054e-15
0.02020202,-3.143289459722503e-15
0.03030303,-3.14547290185428e-15
0.04040404,-3.147630530834982e-15
0.05050505,-3.149762925750768e-15
0.06060606,-3.151870676198256e-15
0.07070707,-3.153954390816805e-15
0.08080808,-3.156014708526737e-15
0.09090909,-3.158052313390742e-15
0.1010101,-3.16006795432402e-15
0.1111111,-3.162062471290695e-15
0.1212121,-3.164036830174568e-15
0.1313131,-3.165992169247846e-15
0.1414141,-3.16792986114429e-15
0.1515152,-3.169851595556203e-15
0.1616162,-3.171759489628784e-15
0.1717172,-3.173656235368134e-15
0.1818182,-3.175545296508415e-15
0.1919192,-3.177431171461815e-15
0.2020202,-3.179319744553161e-15
0.2121212,-3.181218755185654e-15
0.2222222,-3.183138424516165e-15
0.2323232,-3.185092292462099e-15
0.2424242,-3.187098335509177e-15
0.2525253,-3.189180459283491e-15
0.2626263,-3.191370491091507e-15
0.2727273,-3.193710839104711e-15
0.2828283,-3.196258039803516e-15
0.2929293,-3.199087487855353e-15
0.3030303,-3.202299738055123e-15
0.3131313,-3.206028893840721e-15
0.3232323,-3.210453759058401e-15
0.3333333,-3.215812638009816e-15
0.3434343,-3.222422932530371e-15
0.3535354,-3.230707011378023e-15
0.3636364,-3.241226218199667e-15
0.3737374,-3.254725327740743e-15
0.3838384,-3.272190215586752e-15
0.3939394,-3.294921880960881e-15
0.4040404,-3.324630065639051e-15
0.4141414,-3.363549193065433e-15
0.4242424,-3.414577598586605e-15
0.4343434,-3.481437039526604e-15
0.4444444,-3.568841772585758e-15
0.4545455,-3.68265309543346e-15
0.4646465,-3.829974130054238e-15
0.4747475,-4.019109983821181e-15
0.4848485,-4.259283641585734e-15
0.4949495,-4.559970540731634e-15
0.5050505,-4.929722033183079e-15
0.5151515,-5.374432123707291e-15
0.5252525,-5.895202897994059e-15
0.5353535,-6.486272958766781e-15
0.5454545,-7.133770898873664e-15
0.5555556,-7.816105931555284e-15
0.5656566,-8.506394192676931e-15
0.5757576,-9.176498609041609e-15
0.5858586,-9.801472935976623e-15
0.5959596,-1.036298920430651e-14
0.6060605999999999,-1.08508501166329e-14
0.6161616,-1.126256218668626e-14
0.6262626,-1.160161607118947e-14
0.6363636,-1.187531073936442e-14
0.6464645999999999,-1.209276393149646e-14
0.6565657,-1.226342557423042e-14
0.6666666999999999,-1.239614375417079e-14
0.6767677,-1.249868764934568e-14
0.6868687,-1.257758795048675e-14
0.6969697,-1.263816798983722e-14
0.7070707000000001,-1.268467179988341e-14
0.7171717,-1.272042859217988e-14
0.7272727,-1.274801899163695e-14
0.7373737,-1.276942576683706e-14
0.7474747,-1.278616235682194e-14
0.7575758,-1.279937830545009e-14
0.7676768,-1.280994354480481e-14
0.7777778,-1.281851457455606e-14
0.7878788,-1.282558577002084e-14
0.7979798,-1.283152879821759e-14
0.8080808,-1.283662269693595e-14
0.8181818,-1.284107671643395e-14
0.8282828,-1.284504760246278e-14
0.8383838,-1.28486526381918e-14
0.8484848,-1.285197946594177e-14
0.8585859,-1.285509347256543e-14
0.8686869,-1.285804333634082e-14
0.8787879,-1.286086518920803e-14
0.8888889,-1.286358573763256e-14
0.8989899,-1.286622460108434e-14
0.9090909,-1.286879606314782e-14
0.9191919,-1.287131038189711e-14
0.9292929,-1.287377476967177e-14
0.9393939,-1.287619412490805e-14
0.9494949,-1.287857157801788e-14
0.959596,-1.288090889778782e-14
0.969697,-1.288320679312197e-14
0.9797979999999999,-1.28854651362157e-14
0.989899,-1.288768312669584e-14
1,-1.288985941135329e-14
