OP("/PM0" "cgs") X,OP("/PM0" "cgs") Y
0,-3.705577659530748e-14
0.01010101,-3.432391271973126e-14
0.02020202,-3.121890447327575e-14
0.03030303,-2.784310361458122e-14
0.04040404,-2.43458899948479e-14
0.05050505,-2.089971054415356e-14
0.06060606,-1.766738570822807e-14
0.07070707,-1.477311600503837e-14
0.08080808,-1.228734012154532e-14
0.09090909,-1.02277431741849e-14
0.1010101,-8.57149669089097e-15
0.1111111,-7.271352619469863e-15
0.1212121,-6.269962227045214e-15
0.1313131,-5.50992635688764e-15
0.1414141,-4.93949583753285e-15
0.1515152,-4.514968300083552e-15
0.1616162,-4.201015299191198e-15
0.1717172,-3.969928235755635e-15
0.1818182,-3.800433125206243e-15
0.1919192,-3.676442620509609e-15
0.2020202,-3.585923479176782e-15
0.2121212,-3.519945437254874e-15
0.2222222,-3.471918666804348e-15
0.2323232,-3.437000425554195e-15
0.2424242,-3.41164252808057e-15
0.2525253,-3.393250954014158e-15
0.2626263,-3.379932273399948e-15
0.2727273,-3.370306038852703e-15
0.2828283,-3.363366662692572e-15
0.2929293,-3.358382084439779e-15
0.3030303,-3.354819618202309e-15
0.3131313,-3.352291789613737e-15
0.3232323,-3.350516826660467e-15
0.3333333,-3.349289867907182e-15
0.3434343,-3.348461995862724e-15
0.3535354,-3.347924976743102e-15
0.3636364,-3.347600157841762e-15
0.3737374,-3.347430392098478e-15
0.3838384,-3.347374165746381e-15
0.3939394,-3.347401328706299e-15
0.4040404,-3.347489990678925e-15
0.4141414,-3.347624264896832e-15
0.4242424,-3.347792628176961e-15
0.4343434,-3.347986729010503e-15
0.4444444,-3.348200521337491e-15
0.4545455,-3.348429635049859e-15
0.4646465,-3.348670918554214e-15
0.4747475,-3.348922106385832e-15
0.4848485,-3.349181577705276e-15
0.4949495,-3.349448180843005e-15
0.5050505,-3.349721105842584e-15
0.5151515,-3.349999791884988e-15
0.5252525,-3.350283860060897e-15
0.5353535,-3.35057306456362e-15
0.5454545,-3.35086725726836e-15
0.5555556,-3.351166362039871e-15
0.5656566,-3.35147035611042e-15
0.5757576,-3.351779256596916e-15
0.5858586,-3.352093110753942e-15
0.5959596,-3.352411988943269e-15
0.6060605999999999,-3.352735979579506e-15
0.6161616,-3.353065185513718e-15
0.6262626,-3.353399721464576e-15
0.6363636,-3.353739712213343e-15
0.6464645999999999,-3.354085291356566e-15
0.6565657,-3.354436600467396e-15
0.6666666999999999,-3.354793788556843e-15
0.6767677,-3.355157011756563e-15
0.6868687,-3.355526433166336e-15
0.6969697,-3.355902222824965e-15
0.7070707000000001,-3.356284557775173e-15
0.7171717,-3.356673622200961e-15
0.7272727,-3.3570696076223e-15
0.7373737,-3.357472713136203e-15
0.7474747,-3.357883145696658e-15
0.7575758,-3.358301120428014e-15
0.7676768,-3.358726860968218e-15
0.7777778,-3.359160599839665e-15
0.7878788,-3.359602578846156e-15
0.7979798,-3.360053049495051e-15
0.8080808,-3.360512273444638e-15
0.8181818,-3.360980522976421e-15
0.8282828,-3.361458081492859e-15
0.8383838,-3.36194524404095e-15
0.8484848,-3.362442317862234e-15
0.8585859,-3.362949622969795e-15
0.8686869,-3.363467492753175e-15
0.8787879,-3.363996274611406e-15
0.8888889,-3.364536330615139e-15
0.8989899,-3.365088038198082e-15
0.9090909,-3.365651790878201e-15
0.9191919,-3.366227999008714e-15
0.9292929,-3.366817090535631e-15
0.9393939,-3.367419511906698e-15
0.9494949,-3.368035728749901e-15
0.959596,-3.368666226854743e-15
0.969697,-3.369311513030845e-15
0.9797979999999999,-3.369972116021184e-15
0.989899,-3.370648587434337e-15
1,-3.371341502691355e-15
