OP("/PM1" "gds") X,OP("/PM1" "gds") Y
0,8.461415812506964e-07
0.01010101,7.192174076315105e-07
0.02020202,6.076793860509986e-07
0.03030303,5.103478003185523e-07
0.04040404,4.260242582244237e-07
0.05050505,3.535039571765592e-07
0.06060606,2.915914640867747e-07
0.07070707,2.391185357622022e-07
0.08080808,1.949622198109714e-07
0.09090909,1.580614676431026e-07
0.1010101,1.274307658403473e-07
0.1111111,1.02169788190526e-07
0.1212121,8.146867606727561e-08
0.1313131,6.460913962126567e-08
0.1414141,5.096202500370888e-08
0.1515152,3.998224900065076e-08
0.1616162,3.120205523694349e-08
0.1717172,2.422343797756442e-08
0.1818182,1.871037987640594e-08
0.1919192,1.438132915915958e-08
0.2020202,1.100215140251672e-08
0.2121212,8.379656281584218e-09
0.2222222,6.355721540281355e-09
0.2323232,4.802001520359734e-09
0.2424242,3.615197895504911e-09
0.2525253,2.712870551954216e-09
0.2626263,2.029767429625978e-09
0.2727273,1.514649848429275e-09
0.2828283,1.127584473496534e-09
0.2929293,8.376664219741065e-10
0.3030303,6.211320559674634e-10
0.3131313,4.598160907547684e-10
0.3232323,3.399063090630125e-10
0.3333333,2.509502829699256e-10
0.3434343,1.850715439355545e-10
0.3535354,1.363569448881282e-10
0.3636364,1.003818929707004e-10
0.3737374,7.384518631276257e-11
0.3838384,5.42900026958879e-11
0.3939394,3.989194314507264e-11
0.4040404,2.929882371267782e-11
0.4141414,2.151010973319187e-11
0.4242424,1.578652641750131e-11
0.4343434,1.158251465446396e-11
0.4444444,8.495900666321246e-12
0.4545455,6.230483883520967e-12
0.4646465,4.568285698900762e-12
0.4747475,3.349001561163268e-12
0.4848485,2.454810274550557e-12
0.4949495,1.799158768376916e-12
0.5050505,1.318491425620089e-12
0.5151515,9.661568738898889e-13
0.5252525,7.079227539070847e-13
0.5353535,5.186765142009875e-13
0.5454545,3.800001172961383e-13
0.5555556,2.783881187795514e-13
0.5656566,2.039390441406e-13
0.5757576,1.493947253987653e-13
0.5858586,1.094353116346077e-13
0.5959596,8.016205574258323e-14
0.6060605999999999,5.871795566311551e-14
0.6161616,4.300956573998599e-14
0.6262626,3.150303410875837e-14
0.6363636,2.307458421950153e-14
0.6464645999999999,1.690092206318682e-14
0.6565657,1.237891686268929e-14
0.6666666999999999,9.066741641163839e-15
0.6767677,6.640743541389839e-15
0.6868687,4.863842471251694e-15
0.6969697,3.562378020861814e-15
0.7070707000000001,2.609146978524167e-15
0.7171717,1.910976774427106e-15
0.7272727,1.399622248181444e-15
0.7373737,1.025097176158167e-15
0.7474747,7.507894915479504e-16
0.7575758,5.498831775125163e-16
0.7676768,4.027373532043236e-16
0.7777778,2.949665239973467e-16
0.7878788,2.160344367518306e-16
0.7979798,1.582241447135085e-16
0.8080808,1.158836365550108e-16
0.8181818,8.487330622592243e-17
0.8282828,6.216126197235818e-17
0.8383838,4.552691956257266e-17
0.8484848,3.334390714411085e-17
0.8585859,2.442106051945867e-17
0.8686869,1.788596553587869e-17
0.8787879,1.309966291378825e-17
0.8888889,9.594177129600388e-18
0.8989899,7.026761973073608e-18
0.9090909,5.146389654521941e-18
0.9191919,3.769207216479171e-18
0.9292929,2.760560685065024e-18
0.9393939,2.021829499114886e-18
0.9494949,1.480783996646023e-18
0.959596,1.084523222015285e-18
0.969697,7.943025651158652e-19
0.9797979999999999,5.817455166969929e-19
0.989899,4.260691598537664e-19
1,3.120521171807507e-19
