OP("/NM0" "ids") X,OP("/NM0" "ids") Y
0,1.049474033258501e-11
0.01010101,1.432092338610845e-11
0.02020202,1.954036705864221e-11
0.03030303,2.665940865026505e-11
0.04040404,3.636780557011257e-11
0.05050505,4.960482991013026e-11
0.06060606,6.764897487131205e-11
0.07070707,9.223958840866953e-11
0.08080808,1.257416082729281e-10
0.09090909,1.713683741432431e-10
0.1010101,2.334825246325231e-10
0.1111111,3.180016122551002e-10
0.1212121,4.32943737272319e-10
0.1313131,5.891597566435309e-10
0.1414141,8.013131101891393e-10
0.1515152,1.089186753831887e-09
0.1616162,1.479419888786579e-09
0.1717172,2.007805912370965e-09
0.1818182,2.722317971309477e-09
0.1919192,3.687070090751539e-09
0.2020202,4.987470026779357e-09
0.2121212,6.736873963814435e-09
0.2222222,9.08511118835773e-09
0.2323232,1.222930602267117e-08
0.2424242,1.64274806834155e-08
0.2525253,2.201547202368136e-08
0.2626263,2.942773398847322e-08
0.2727273,3.922262607169845e-08
0.2828283,5.211281269343066e-08
0.2929293,6.90014358001314e-08
0.3030303,9.102480166492055e-08
0.3131313,1.196024811579332e-07
0.3232323,1.564959992677819e-07
0.3333333,2.03877704018022e-07
0.3434343,2.644119297021564e-07
0.3535354,3.413510995057037e-07
0.3636364,4.386497450814104e-07
0.3737374,5.610992602007199e-07
0.3838384,7.144852083753739e-07
0.3939394,9.05766859869543e-07
0.4040404,1.14327516957533e-06
0.4141414,1.436920691417983e-06
0.4242424,1.79839733713642e-06
0.4343434,2.24136214542241e-06
0.4444444,2.781566356866921e-06
0.4545455,3.436910324019608e-06
0.4646465,4.227395376986702e-06
0.4747475,5.174950698925855e-06
0.4848485,6.303122903404302e-06
0.4949495,7.63662975141481e-06
0.5050505,9.200795594375404e-06
0.5151515,1.102090203487042e-05
0.5252525,1.312149991243172e-05
0.5353535,1.55257353894701e-05
0.5454545,1.825474213878792e-05
0.5555556,2.132714354828477e-05
0.5656566,2.475869516890785e-05
0.5757576,2.856208110110186e-05
0.5858586,3.274686167090868e-05
0.5959596,3.731955612641104e-05
0.6060605999999999,4.228383474728735e-05
0.6161616,4.764079016039423e-05
0.6262626,5.338925732476044e-05
0.6363636,5.952615454884723e-05
0.6464645999999999,6.60468227862706e-05
0.6565657,7.294534616533651e-05
0.6666666999999999,8.021484234115333e-05
0.6767677,8.784771622834597e-05
0.6868687,9.583587467804104e-05
0.6969697,0.000104170902630026
0.7070707000000001,0.0001128442032721134
0.7171717,0.0001218471059265274
0.7272727,0.0001311709459382371
0.7373737,0.0001408071209386498
0.7474747,0.0001507471276526474
0.7575758,0.0001609825830295738
0.7676768,0.0001715052330011197
0.7777778,0.0001823069516650687
0.7878788,0.0001933797332054132
0.7979798,0.0002047156784119109
0.8080808,0.0002163069772683748
0.8181818,0.0002281458887440396
0.8282828,0.0002402247186459724
0.8383838,0.0002525357961696633
0.8484848,0.0002650714496154239
0.8585859,0.0002778239816155779
0.8686869,0.0002907856441375692
0.8787879,0.0003039486134880533
0.8888889,0.000317304965540152
0.8989899,0.0003308466514390888
0.9090909,0.0003445654741088032
0.9191919,0.000358453065982661
0.9292929,0.0003725008685119046
0.9393939,0.0003867001141609376
0.9494949,0.0004010418117696544
0.959596,0.0004155167363350365
0.969697,0.0004301154244156679
0.9797979999999999,0.0004448281764649113
0.989899,0.0004596450674164774
1,0.0004745559667419872
