OP("/NM2" "vth") X,OP("/NM2" "vth") Y
0,0.5583341150322647
0.01010101,0.5583341150326241
0.02020202,0.5583341150331036
0.03030303,0.5583341150337437
0.04040404,0.5583341150345966
0.05050505,0.5583341150357349
0.06060606,0.5583341150372535
0.07070707,0.5583341150392798
0.08080808,0.5583341150419812
0.09090909,0.5583341150455828
0.1010101,0.5583341150503873
0.1111111,0.5583341150567909
0.1212121,0.5583341150653268
0.1313131,0.5583341150767016
0.1414141,0.5583341150918557
0.1515152,0.5583341151120392
0.1616162,0.5583341151389122
0.1717172,0.5583341151746785
0.1818182,0.5583341152222593
0.1919192,0.5583341152855283
0.2020202,0.5583341153696073
0.2121212,0.558334115481268
0.2222222,0.558334115629447
0.2323232,0.5583341158259185
0.2424242,0.5583341160861663
0.2525253,0.5583341164305085
0.2626263,0.5583341168855441
0.2727273,0.5583341174859997
0.2828283,0.5583341182770738
0.2929293,0.5583341193173949
0.3030303,0.5583341206827294
0.3131313,0.5583341224705839
0.3232323,0.5583341248058785
0.3333333,0.5583341278478736
0.3434343,0.558334131798545
0.3535354,0.5583341369126315
0.3636364,0.55833414350956
0.3737374,0.5583341519875096
0.3838384,0.5583341628398522
0.3939394,0.5583341766742708
0.4040404,0.5583341942348683
0.4141414,0.5583342164275858
0.4242424,0.5583342443492189
0.4343434,0.558334279320143
0.4444444,0.5583343229205291
0.4545455,0.5583343770291841
0.4646465,0.5583344438632495
0.4747475,0.5583345260157452
0.4848485,0.5583346264866016
0.4949495,0.558334748701538
0.5050505,0.5583348965123687
0.5151515,0.5583350741723503
0.5252525,0.5583352862813842
0.5353535,0.5583355376983237
0.5454545,0.5583358334211568
0.5555556,0.558336178439989
0.5656566,0.5583365775718016
0.5757576,0.5583370352891892
0.5858586,0.5583375555569449
0.5959596,0.5583381416901136
0.6060605999999999,0.558338796244959
0.6161616,0.5583395209505365
0.6262626,0.5583403166840556
0.6363636,0.5583411834885745
0.6464645999999999,0.5583421206277145
0.6565657,0.5583431266693581
0.6666666999999999,0.5583441995889517
0.6767677,0.5583453368829976
0.6868687,0.5583465356843006
0.6969697,0.5583477928721051
0.7070707000000001,0.5583491051722148
0.7171717,0.5583504692439931
0.7272727,0.5583518817528286
0.7373737,0.5583533394279324
0.7474747,0.5583548391063079
0.7575758,0.5583563777642943
0.7676768,0.5583579525384317
0.7777778,0.5583595607374932
0.7878788,0.558361199847435
0.7979798,0.5583628675309189
0.8080808,0.5583645616227929
0.8181818,0.5583662801227476
0.8282828,0.5583680211861044
0.8383838,0.5583697831135096
0.8484848,0.5583715643401232
0.8585859,0.5583733634247492
0.8686869,0.5583751790392023
0.8787879,0.5583770099581548
0.8888889,0.558378855049573
0.8989899,0.5583807132658432
0.9090909,0.5583825836356027
0.9191919,0.5583844652562968
0.9292929,0.5583863572874259
0.9393939,0.5583882589444576
0.9494949,0.5583901694933562
0.959596,0.558392088245684
0.969697,0.5583940145542229
0.9797979999999999,0.5583959478090651
0.989899,0.5583978874341278
1,0.558399832884052
